docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,category,shorttitle
uc2.ark+=13960=t5n87479m,"Robbins, Sarah Stuart, Mrs",,,f,us,1817-1910.,1860,,1860,2,2,,"New York;R. Carter;1868, c1860.",NotFiction,,novel,Win and wear
uiuo.ark+=13960=t0ht34m31,"Jolly, Emily",,,f,uk,1834-1917,1860,,1860,4,4,v.2,London;Hurst and Blackett;1860.,Fiction,"English fiction|Fiction, English",novel,Bond and free
njp.32101068971058,"Kavanagh, Julia",,,f,ir,1824-1877.,1860,,1860,7,7,vol.3,London;Hurst and Blackett;1860.,Fiction,,novel,"Seven years, and other tales"
uiuo.ark+=13960=t5v69sj03,"Dawson, Flora",,,f,,1806-1876.,1864,,1864,4,4,v.1,London;R. Bentley;1864.,,,novel,"Princes, public men, and pretty women"
uiuo.ark+=13960=t0jt0c18w,"Dickens, Charles",,,m,uk,1812-1870.,1864,,1864,40,16,v.3,"New York;J. Bradburn, 1864-65.",Satire|ContainsBiogMaterial|NotFiction|Bibliographies|Love stories|Fiction,"Dickens, Charles|Inheritance and succession|Fiction|London (England)|Poor families|Deception|Social classes|1812-1870",novel,Our mutual friend
mdp.39015058549463,"Southey, Robert",,,m,uk,1774-1843.,1865,,1843,4,4,,"London;Longmans, Green, and co.;1865.",Fiction,,reprint,"The doctor, &c"
njp.32101068176609,"Chamberlain, N. H. (Nathan Henry)",,,m,us,1828-1901.,1865,,1865,3,3,,New York;Carleton;1865.,NotFiction,,novel,The autobiography of a New England farm-house; a book
nyp.33433075727382,"Fitzgerald, Percy Hetherington",,,m,ir,1834-1925.,1865,,1865,5,5,v. 2,London;Chapman and Hall;1865.,Fiction,,novel,Never forgotten
uiuo.ark+=13960=t6g16kp69,"Lawrence, George A. (George Alfred)",,,m,uk,1827-1876.,1866,,1866,5,5,v.3,London;Tinsley Brothers;1866.,Fiction,English fiction,novel,"Sans merci; or, Kestrels and falcons"
ncs1.ark+=13960=t7vm4kg7w,"Paludan-Müller, Frederik",,,m,da,1809-1876,1867,,1867,2,2,1867,"London;Macmillan and Co.;1867;(London;R. Clay, Son, and Taylor)",Fiction,"Mexico|Battles|Adventure stories|Inquisition|Juvenile fiction|Hermits|Knights and knighthood|Love stories|Fountain of youth (Legendary place)|Conquest, 1519-1540|History",novel,The fountain of youth
uiuo.ark+=13960=t17m0xt0c,"Trollope, Thomas Adolphus",,,m,uk,1810-1892.,1868,,1868,3,3,v.2,London;Chapman & Hall;1868.,,,novel,The dream numbers
